Last,Female,Twitter Handle,SenateAcc,Full
Sanders,0,SenSanders,1,Bernie Sanders
Warren,1,ewarren,0,Elizabeth Warren
Willamson,1,marwilliamson,0,Marianne Williamson
Swalwell,0,ericswalwell,0,Eric Swalwell
Ryan,0,TimRyan,0,Tim Ryan
Inslee,0,JayInslee,0,Jay Inslee
Hickenlooper,0,Hickenlooper,0,John Hickenlooper
Gabbard,1,TulsiGabbard,0,Tulsi Gabbard
O'Rourke,0,BetoORourke,0,Beto O'Rourke
Yang,0,AndrewYang,0,Andrew Yang
Delaney,0,JohnDelaney,0,John Delaney
de Blasio,0,BilldeBlasio,0,Bill de Blasio
Castro,0,JulianCastro,0,Julian Castro
Bullock,0,GovernorBullock,0,Steve Bullock
Booker,0,CoryBooker,0,Cory Booker
Bennet,0,MichaelBennet,0,Michael Bennet
Harris,1,SenKamalaHarris,1,Kamala Harris
Gillibrand,1,SenGillibrand,0,Kirsten Gillibrand
Klobuchar,1,amyklobuchar,0,Amy Klobuchar
Biden,0,JoeBiden,0,Joe Biden
Buttigieg,0,PeteButtigieg,0,Pete Buttigieg
Harris,1,KamalaHarris,0,KamalaHarris
Sanders,0,BernieSanders,0,Bernie Sanders
Warren,1,SenWarren,1,Elizabeth Warren
